Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
 New Zealand ,483000,441200,498000,479900,539000,678000,672000,710500,726700,816400,818600,787700,838000,1027500,1092500,1061700,1120800,1101400,1097600,1151800,1186300,1184800,1195500,1241500,1309300,1334300,1351600,1385700,1417800
 New Caledonia ,15700,17100,19000,20700,20500,23100,22900,23600,25000,26700,27700,32100,34500,36300,38000,39600,42000,44500,46600,45400,42200,37500,38500,42700,48600,50000,50100,54300,53700
 Papua New Guinea ,34700,36400,41200,41800,41400,42800,43500,44100,51200,44800,38000,31200,26900,25600,27000,30000,31800,37200,42500,46400,50800,54600,56200,54100,53900,52000,51000,47900,49500
 Vanuatu ,2600,3000,3000,3800,3600,3600,3600,4400,5800,6300,4700,5400,6000,6700,6500,6300,7200,7600,9200,10400,9600,9600,9400,8400,9300,10500,12900,14500,17300
 Fiji ,17200,17100,17200,19500,19100,21100,19700,21900,26200,22700,23500,23100,26400,24700,26400,26400,24700,26400,30300,30600,29200,28800,30600,31400,31700,35300,41800,45600,45800
 Other Oceania and Antarctica ,15200,15600,17100,20000,21900,22700,26900,30800,31500,32200,28800,24300,25500,27600,25500,28300,28900,32100,31900,32500,34000,31700,29300,35000,34700,34300,34400,41900,43800
 Total Oceania and Antarctica ,568300,530400,595500,586200,645600,791200,788200,835300,866200,949600,941400,903800,957100,1148200,1215800,1192600,1255900,1249000,1258600,1317300,1352300,1347200,1359300,1413400,1487300,1516600,1542300,1589600,1628300
" UK, CIs & IOM ",264700,291200,311500,337100,346600,366600,405300,462900,556300,581800,610700,640900,682100,685000,714500,707100,701100,691300,680600,662300,641200,630900,643100,666600,684700,713500,721400,737400,715100
 Ireland ,9400,8700,10700,15000,17200,20300,25300,30200,39100,46500,51100,48300,47400,53700,60100,60800,69400,71500,66000,54800,60700,62900,61300,60800,55800,55600,55900,61300,67400
 Austria ,10700,10800,13000,15600,16400,17700,18100,17100,17400,18600,18400,18900,19000,18000,18300,18200,17600,17800,17700,17100,15100,15700,16800,16800,16800,18600,18100,19500,19600
 Belgium ,3600,4400,5500,6700,7300,9400,8600,9600,9800,10800,10800,10800,10000,11300,11900,13200,14300,14900,16500,18000,17000,17900,19000,22100,20600,21100,21100,22700,24000
 France ,21300,25300,30100,34400,35000,35600,38600,41900,48800,57000,50300,50400,49800,57100,66200,69100,77100,90100,102000,108900,104900,110500,116100,123900,125600,129700,129500,141000,143100
 Germany ,76200,90300,107600,120000,123800,124900,129400,126900,139700,143000,147600,133800,140500,140500,150400,152500,157400,160800,166600,168000,161600,158700,170200,186600,187600,199100,209500,207500,205200
 Netherlands ,20600,23900,26800,30900,34500,37800,42600,47400,54000,61200,57100,52800,50700,48800,50800,52500,53300,57300,55200,53800,50300,46200,46500,46900,45900,49300,55400,60100,64400
 Switzerland ,30000,29100,31300,36300,34800,38800,38800,41200,45100,48600,46500,41200,40500,41700,43200,43300,45000,42700,46600,48200,45800,45900,48200,51400,53400,54000,55400,57400,55100
 Denmark ,9900,10600,11800,14900,15900,17500,16900,18200,18900,20200,18200,18400,20000,20300,23500,23900,23800,25300,25000,23700,23400,24000,23600,25000,25100,28500,28100,31100,29800
 Finland ,4800,4800,4800,5900,5900,6000,6800,6300,7600,8400,7000,6400,7400,9300,10200,10800,12000,12000,12800,12100,12900,13700,13500,14200,14400,15200,16000,16800,16100
 Norway ,4200,4800,4800,5700,6700,7200,9200,10800,11600,16000,16700,16600,17100,16600,16500,16400,17700,18000,18500,19900,19600,19700,19900,22100,21000,21600,22300,24700,23000
 Sweden ,18400,18200,17600,19900,22200,22900,24000,26600,29100,35100,32400,31100,31500,34000,37100,37800,36300,36900,34300,36300,36600,38200,39900,42800,42800,44700,47400,43700,42100
 Other North-West Europe ,800,1200,1200,1200,1200,1800,1200,1400,2400,2400,1600,2000,1400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2800,2500,3600,3600,4700
 Total North-West Europe ,474900,522600,575800,643500,667900,706400,765500,839600,978700,1050000,1068600,1071700,1117200,1138800,1204600,1207700,1227000,1240800,1243900,1226100,1191400,1186000,1221300,1281900,1296300,1353600,1384000,1426400,1409100
